id,english,hindi
336,Can you tell me when to switch the machine off?,क्या मुझे बता सकते हो कि मशीन को कब बंद करना है?
337,I am tired of my work.,मैं अपने काम से थक चुका हूँ।
338,We often make mistakes.,हम अक्सर ग़लतियाँ कर बैठते हैं।
339,Not all birds can fly.,सारे पंछी उड़ नहीं सकते।
340,"If I had wings, I would fly to you.",अगर मेरे पास पंख होते तो मैं उड़कर तुम्हारे पास चला आता।
341,This problem is hard to solve.,इस समस्या को सुलझाना बहुत कठिन है।
342,It is a difficult problem.,यह समस्या बहुत कठिन है।
343,What are their rights?,क्या है उनके अधिकार?
344,He always drinks black coffee.,वह हमेशा काली काफ़ी पीता है।
345,He took advantage of my youth.,उसने मेरे जवान होने का फ़ायदा उठाया।
346,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,तमाम इनसान आज़ाद और हुकू़क़ और इज़्ज़त के इतिबार से बराबर पैदा हुए हैं। इन्हें ज़मीर और अक़ल वदीयत हुई हैं। इसलिए इन्हें एक दूसरे के साथ भाईचारे का सुलूक करना चाहीए।
347,I'll go to Hokkaido next month with my friend.,मैं अगले महीने मेरे दोस्त के साथ होक्काइदो जाउँगी।
348,I know that you don't want to talk to me.,मुझे मालूम है आप मेरे साथ बात नहीं करना चाहते।
349,Tom's the last person I would've expected to have a heart attack.,मैंने कभी न सोचा था कि टॉम को दिल का दौरा पड़ जाएगा |
350,Tom works for a small company.,टॉम एक छोटी कंपनी के लिए काम करता है |
351,"The truth is, I don't have any problem with it.",सच्ची बात तो यह है कि मुझे कोई परवाह नहीं।
352,This place gives me the creeps.,यह स्थान मुझे बेहद भयानक लगता है |
353,Tom slowly retreated.,टॉम धीरे-धीरे पीछे हटा |
354,Let go of the bottle.,बोतल छोड़।
355,I was ready for Tom.,मैं टॉम के लिये तैयार था।
356,Will you still be here when I get back?,मेरे लौटने पर क्या तुम यहाँ होगे?
357,Where did you send Tom?,तुम ने टॉम को कहाँ भेजा?
358,Who listens to Tom?,टॉम की कौन सुनता है?
359,They begin beating Tom.,वे टॉम को पीटने लगे।
360,They're afraid of Tom.,वे टॉम से डरते हैं।
361,Now it's your turn.,अब तुम्हारी बारी है।
362,They're waiting for us.,वे हमारे लिये रुके हैं।
363,There are three of us.,हम तीन हैं।
364,I am an astrologer.,मैं ज्योत्षी हूँ |
365,Let me do it my way.,मुझे अपने तरीके से करने दीजिए।
366,It's been three days.,तीन दिन हो गए हैं।
367,It isn't much further.,ज़्यादा दूर नहीं है।
368,It's for your own good.,तुम्हारे ही भले के लिये है।
369,It's not real money.,असली पैसा नहीं है।
370,It's still not working.,अभी भी काम नहीं कर रहा है।
371,Thanks for last night.,कल रात के लिये शुक्रिया।
372,Tom must be so scared.,टॉम कितना डरा हुआ होगा।
373,I ate too much yesterday.,मैंने कल कुछ ज़्यादा ही खा लिया।
374,I ate too much today.,मैंने आज कुछ ज़्यादा ही खा लिया।
375,I am not Mongolian.,मैं मंगोलीयाई नहीं हूँ।
376,I don't know what's going on around here.,पता नहीं यहाँ क्या चल रहा है।
377,Tom said very little.,टॉम बहुत कम बोला।
378,Even men sometimes cry.,मर्द भी कभी-कबार रोते हैं।
379,It's a joke.,मज़ाक है।
380,Is this Tom's?,टॉम का है?
381,I don't let my kids watch TV.,मैं अपने बच्चों को टीवी नहीं देखने देता।
382,Tom is not as fat as me.,टॉम मेरे जितना मोटा नहीं है।
383,They can't see you.,वे तुम्हें देख नहीं सकते।
384,Tom isn't even here yet.,टॉम तो यहाँ अभी तक आया भी नहीं है।
385,I didn't know Tom last year.,पिछले साल मैं टॉम को जानता नहीं था।
386,Tom is headed this way.,टॉम इस तरफ़ आ रहा है।
387,They're afraid of us.,वे हम से डरते हैं।
388,Tom is just like us.,टॉम बिलकुल हमारी तरह है।
389,They're lying to us.,वे हम से झूठ बोल रहे हैं।
390,Tom has lied to us.,टॉम ने हम से झूठ बोला है।
391,Why are you working for Tom?,तुम टॉम के लिये क्यों काम कर रहे हो?
392,What'll Tom do tomorrow?,टॉम कल क्या करेगा?
393,They never caught Tom.,उन्होंने टॉम को कभी पकड़ा नहीं।
394,I forgave Tom.,मैंने टॉम को माफ़ किया।
395,How crazy is Tom?,टॉम कितना पागल है?
396,They can't see Tom.,वे टॉम को नहीं देख सकते।
397,"Hey, what's this?",अरे! यह क्या है?
398,"Hey, what's that?",अरे! वह क्या है?
399,Make each day your masterpiece.,अपने प्रत्येक दिन को सर्वोत्कृष्ट बनाएं।
400,Tom isn't going to sing.,टॉम गाने वाला नहीं है।
401,Tom came into the room.,टॉम कमरे में आया।
402,It is better to die on your feet than to live on your knees.,डर के जीने की तुलना में तो मर जाना ही बेहतर है।
403,Tom is our best pilot.,टॉम हमारा सबसे अच्छा पाइलट है।
404,Tom did it all.,टॉम ने सभ कुछ किया।
405,"The way I see it, if you want the rainbow, you gotta put up with the rain.","मेरे विचार से यदि आप इन्द्रधनुष चाहते हैं, तो आपको वर्षा को सहना होगा।"
406,Each member has to pay a membership fee.,हर सदस्य को सदस्यता शुल्क भरना होगा।
407,The best dreams happen when you're awake.,"जब आप जागृत अवस्था में होते हैं, तो ही सर्वश्रेष्ठ स्वप्नों का सृजन होता है."
408,He is awake.,वह जाग रहे हैं।
409,A baby is God's opinion that the world should go on.,नन्हे शिशु के जन्म का अर्थ है कि भगवान यह चाहते हैं कि यह दुनिया बनी रहे।
410,Tell my father that I've arrived.,अपने पिता को मेरे आने का पैग़ाम दें।
411,Worthless people live only to eat and drink.,निकम्मे लोग सिर्फ खाने पीने के लिए जीते हैं।
412,A lot's happened while you've been away.,आपकी अनुपस्तिथि में बहुत कुछ हो चुका है |
413,We don't do anything.,हम कुछ नहीं करते।
414,"Anger is never without a reason, but seldom with a good one.","क्रोध कभी भी बिना कारण नहीं होता, लेकिन कदाचित ही यह कारण सार्थक होता है।"
415,How did you know Tom wasn't going to like it?,आपको कैसे पता था टॉम उसको नापसंद करेगा?
416,An investment in knowledge pays the best interest.,ज्ञान में पूंजी लगाने से सर्वाधिक ब्याज मिलता है।
417,Where do you think we should pitch our tent?,आपके विचार में हमें अपना तम्बू कहाँ गाड़ना चाहिए?
418,"We should not fret for what is past, nor should we be anxious about the future; men of discernment deal only with the present moment.",हमें न अतीत पर कुढ़ना चाहिए और न ही हमें भविष्य के बारे में चिंतित होना चाहिए; विवेकी व्यक्ति केवल वर्तमान क्षण में ही जीते हैं।
419,"A man is great by deeds, not by birth.","“व्यक्ति कर्मों से महान बनता है, जन्म से नहीं।"
420,You cannot shake hands with a clenched fist.,आप भींची मुट्ठी से हाथ नहीं मिला सकते।
421,"Since happiness doesn't exist, we have to strive to be happy without it.","क्योंकि ख़ुशी का कोई अस्तित्व नहीं है, हमें उसके बिना खुश रहने का प्रयत्न करना चाहिए |"
422,"Forgive your enemies, but never forget their names.","अपने दुश्मनों को माफ कर दें, लेकिन उनके नाम कभी न भूलें।"
423,What are you cooking today?,आज आप क्या पका रहे हैं?
424,People who work sincerely are the happiest.,निष्ठा से काम करने वाले ही सबसे सुखी हैं।
425,Adopt the pace of nature: her secret is patience.,प्रकृति की गति अपनाएं: उसका रहस्य है धीरज।
426,I don't need a friend who changes when I change and who nods when I nod; my shadow does that much better.,मुझे ऐसे मित्र की आवश्यकता नहीं जो मेरे साथ-साथ बदले और मेरी हां में हां भरे; ऐसा तो मेरी परछाई कहीं बेहतर कर लेती है।
427,The power to question is the basis of all human progress.,प्रश्न कर पाने की क्षमता ही मानव प्रगति का आधार है.
428,"If you love somebody, let them go, for if they return, they were always yours. And if they don't, they never were.","जिनसे प्रेम करते हैं, उन्हें जाने दें, वे यदि लौट आते हैं तो वे सदा के लिए आपके हैं। और अगर नहीं लौटते हैं तो वे कभी आपके थे ही नहीं।"
429,Education's purpose is to replace an empty mind with an open one.,शिक्षा का ध्येय है एक खाली दिमाग को खुले दिमाग में बदलना।
430,Every man dies. Not every man really lives.,हर इंसान मरता है। लेकिन कोई एक ही जीता है।
431,All life is an experiment.,पूरा जीवन एक प्रयोग है।
432,From your parents you learn love and laughter and how to put one foot before the other.,अपने माता पिता से आप प्रेम और हंसी सीखते हैं और पांव पांव चलना भी।
433,"Some people, no matter how old they get, never lose their beauty.","कुछ लोग, चाहे जितने बूढ़े हो जाएं, उन की सुंदरता नहीं मिटती।"
434,Very often a change of self is needed more than a change of scene.,बहुधा वातावरण में परिवर्तन से कहीं अधिक व्यक्ति के भीतर ही बदलाव की ज़रूरत होती है।
435,You can't have everything. Where would you put it?,आप को सब कुछ नहीं मिल सकता। आप इसे रखेंगे कहां?
436,"Good thoughts bear good fruit, bad thoughts bear bad fruit.",सुविचरों से सुफल उपजते हैं और कुविचारों से कुफल।
437,"When it comes to staying young, a mind-lift beats a face-lift any day.","सदा जवान रहने के लिए मुख का सौंदर्य नहीं, मस्तिष्क की उड़ान ज़रूरी है।"
438,Play is really the work of childhood.,खेल ही वास्तव में बचपन का काम है।
439,Simplicity is making the journey of this life with just baggage enough.,सादगी का मतलब है सीमित बोरिया बिस्तर के साथ ज़िंदगी का सफ़र तय करना।
440,She plays poker with them.,वह उनके साथ पोकर खेलती है।
441,You can close your eyes to reality but not to memories.,"आप वास्तविकता से अपनी आंखे मूंद सकते हैं, मगर स्मृतियों से नहीं।"
442,Red is better.,लाल बेहतर है।
443,"When you betray somebody else, you also betray yourself.",आप किसी व्यक्ति को धोखा देते हैं तो आप अपने आप को भी धोखा देते हैं।
444,I like red roses.,मुझे लाल गुलाब पसंद हैं।
445,I wanted red shoes.,मुझे जूते चाहिए थे।
446,You're not even listening.,तुम तो सुन भी नहीं रहे हो।
447,It doesn't hurt to be optimistic. You can always cry later.,आशावादी होने में क्या कष्ट है? रो तो कभी भी सकते हैं।
448,Loneliness is the ultimate poverty.,अकेलापन निर्धनता की पराकाष्ठा है।
449,The sun is red.,सूरज लाल है।
450,All apples are red.,सभी सेब लाल होते हैं।
451,Tom never wears red.,टॉम कभी भी लाल कपड़े नहीं पहनता।
452,His eyes are red.,उसकी आँखें लाल हैं।
453,Your lips are red.,तुम्हारे होंठ लाल हैं।
454,"If you want a place in the sun, you've got to put up with a few blisters.",आप आराम की ज़िंदगी चाहते हैं तो आप को कुछ परेशानी तो उठानी ही होगी।
455,There can be no daily democracy without daily citizenship.,नागरिकता के दैनिक व्यवहार के बिना लोकतंत्र का दैनिक निर्वाह हो ही नहीं सकता।
456,She's wearing red.,उसने लाल कपड़े पहने हैं।
457,My car is red.,मेरी गाड़ी लाल रंग की है।
458,Your blood is red.,तुम्हारा ख़ून लाल रंग का है।
459,The flower is red.,फूल लाल है।
460,What we are seeking so frantically elsewhere may turn out to be the horse we have been riding all along.,हम जिस चीज़ की तलाश कहीं और कर रहे होते हैं वह हो सकता है कि हमारे पास ही हो।
461,She chose the red dress.,उसने लाल ड्रेस चुनी।
462,Never hesitate to hold out your hand.,अपना हाथ आगे बढ़ाने से कभी मत हिचकिए।
463,It's a strip club for women.,महिलाओं के लिये स्ट्रिप क्लब है।
464,Pat stripped off his clothes and dived in.,पॅट ने अपने कपड़े उतार दिये और ग़ोता लगाया।
465,Never hesitate to accept the outstretched hand of another.,दूसरे का आगे बढ़ा हाथ थामने से भी कभी मत हिचकिए।
466,Tom stripped off his dirty clothes and threw them into the washing machine.,टॉम ने अपने गंदे कपड़े उतार दिये और उन्हें वॉशिंग मशीन में डाल दिया।
467,Mary stripped off her clothes.,मैरी ने अपने कपड़े उतार दिये।
468,The purest affection the heart can hold is the honest love of a nine-year-old.,मन जो स्नेह संजो सकता है उन में से सबसे पवित्र है किसी नौ वर्षीय का निश्छल प्रेम।
469,His little sister is fuckable.,उसकी छोटी बहन चोदने लायक है।
470,"Happiness, I have discovered, is nearly always a rebound from hard work.",मैंने पाया है कि सुख लगभग हर बार कठोर श्रम की प्रतिक्रिया ही होता है।
471,Friends are those rare people who ask how we are and then wait to hear the answer.,मित्र वे दुर्लभ लोग होते हैं जो हमारा हालचाल पूछते हैं और उत्तर सुनने को रुकते भी हैं।
472,I fucked lots of friends.,मैंने कई दोस्तों को चोदा।
473,True affluence is to not need anything.,किसी चीज़ की आवश्यकता न रह जाने की स्थिति ही सच्ची समृद्धि है।
474,Their efforts to curtail spending didn't quite succeed.,उनके खर्च घटाने के प्रयास ज़्यादा सफल नहीं हुए।
475,I was with him in January.,जनवरी में मैं उनके साथ था।
476,"The secret to staying young is to live honestly, eat slowly, and lie about your age.","युवा बने रहने का रहस्य है ईमानदारी से जीना, धीरे धीरे खाना और अपनी उम्र जाहिर न करना।"
477,Cut the bullshit!,बकवास बंद कर!
478,Now and then it's good to pause in our pursuit of happiness and just be happy.,कभी कभार सुख के पीछे भागना छोड़ कर बस सुखी होना भी एक अच्छी बात है।
479,To carry care to bed is to sleep with a pack on your back.,चिंताएं ले कर बिस्तर पर जाना अपनी पीठ पर गठरी ले कर सोने के समान है।
480,Ninety-nine percent of all failures come from people who have the habit of making excuses.,असफल व्यक्तियों में से निन्यानवे प्रतिशत वे लोग होते हैं जिन की आदत बहाने बनाने की होती है।
481,Love is a game that two can play and both win.,प्यार एक ऐसा खेल है जिसे दो व्यक्ति खेल सकते हैं और जिस में दोनों ही जीतते हैं।
482,Humor is the affectionate communication of insight.,अंतर्दृष्टि का स्नेहमय संवाद है हास्य।
483,The clock is slow.,यह घड़ी धीरे चलती है।
484,It is horrifying that we have to fight our own government to save the environment.,“कितनी भयावह बात है कि हमें पर्यावरण की रक्षा के लिए अपनी ही सरकार से संघर्ष करना पड़ता है।
485,Integrity has no need of rules.,ईमानदारी किसी कायदे कानून की मोहताज़ नहीं होती।
486,My favourite movie is Fellini's Satyricon.,मेरी पसंदीदा फ़िल्म है फ़ेल्लीनी की सॅटाइरिकॉन।
487,We never know the love of a parent till we become parents ourselves.,"हम जब तक खुद मां बाप नहीं बन जाएं, मां बाप का प्यार कभी नहीं जान पाते।"
488,I may not agree with what you say.,हो सकता है कि मैं आपके विचारों से सहमत न हो पाऊँ
489,One kind word can warm three winter months.,एक मीठा बोल सर्दी के तीन महीनों को ऊष्मा दे सकता है।
490,Tom was at home alone.,टॉम घर पर अकेला था।
491,I like the dreams of the future better than the history of the past.,मुझे तो अतीत के इतिहास से कहीं अच्छे लगते हैं भविष्य के सपने।
492,What would life be if we had no courage to attempt anything?,जीवन का अर्थ ही क्या रह जाएगा यदि हम में सतत प्रयत्न करने का साहस न रहे।
493,What's your favorite food?,तुम्हारा सबसे पसंदीता खाना कौनसा है?
494,Our class consists of fifty boys.,हमारी क्लास में पचास लड़के हैं।
495,"It is not the man who has too little, but the man who craves more, that is poor.",वह व्यक्ति ग़रीब नहीं है जिस के पास थोड़ा बहुत ही है। ग़रीब तो वह है जो ज़्यादा के लिए मरा जा रहा है।
496,Petrol is no longer a cheap fuel.,ईंधनों में पेट्रोल भी अब सस्ता नहीं रहा।
497,"Who are you, anyway?",वैसे तुम हो कौन?
498,Drop me a line when you are in trouble.,अगर कोई भी दिक्कत हो तो मुझसे कहना।
499,There are a lot of horses in my neighbourhood.,मेरे मोहल्ले में बहुत सारे लोग हैं।
500,Ten years is a long time.,दस साल बहुत लम्बा समय होता है।
501,Having unprotected sex is dangerous.,असुरक्षित सेक्स खतरनाक होता है।
502,Crows are black.,कौवे काले होते हैं।
503,Anyone could do that.,वह तो कोई भी कर सकता है।
504,She is five years old.,वह पाँच साल की है।
505,Tom is my friend.,टॉम मेरा दोस्त है।
506,Sex is important to me.,सेक्स मेरे लिये महत्त्वपूर्ण है।
507,The depredations of human hunters are thought to have been the key factor that pushed many species to extinction.,ऐसा माना जाता है कि मानव शिकारियों द्वारा की गई लूटमार ही अनेक प्रजातियों के लुप्त होने का बड़ा कारण है।
508,The poet wrote many poems.,उस कवि ने बहुत सारी कविताएं लिखीं थीं।
509,Do you want to go to Germany with me?,क्या तुम मेरे साथ जर्मनी जाना चाहती हो?
510,I ran away in a hurry.,मैं हड़बड़ी में दौड़ गया।
511,Which is the best hotel in the town?,शहर में सबसे अच्छा होटल कौन सा है?
512,He came to London to study English.,वह अंग्रेज़ी की पढ़ाई लंदन आया।
513,Fire is very dangerous.,आग बहुत खतरनाक होती है।
514,I cannot touch fire.,मैं आग को हाथ नहीं लगा सकता।
515,Come near the fire.,आग के पास आओ।
516,Tom needed water.,टॉम को पानी की ज़रूरत थी।
517,Tom needs water.,टॉम को पानी की ज़रूरत है।
518,We need water.,हमें पानी की ज़रूरत है।
519,I need water.,मुझे पानी की ज़रूरत है।
520,The question was much discussed.,इस सवाल पर बहुत बात-चीत हुई थी।
521,I drink water.,मैं पानी पीती हूँ।
522,You have water.,तुम्हारे पास पानी है।
523,I am pleased with the result.,मैं नतीजे से खुश हूँ।
524,Give me water.,मुझे पानी दो।
525,They named the dog Shiro.,उन्होंने कुत्ते का नाम 'शिरो' रखा।
526,Tom wants to come with us.,टॉम हमारे साथ आना चाहता है।
527,I want some water.,मुझे थोड़ा सा पानी चाहिए।
528,The Cold War began after World War Two.,शीतयुद्ध द्वितीय विश्वयुद्ध के बाद शुरू हुआ।
529,I only drink water.,मैं बस पानी पीता हूँ।
530,They want Tom.,उन्हें टॉम चाहिए।
531,How's the water?,पानी कैसा है?
532,The water was cold.,पानी ठंडा था।
533,The water is cold.,पानी ठंडा है।
534,You're wasting water.,तुम पानी बरबाद कर रहे हो।
535,We're wasting water.,हम पानी बरबाद कर रहे हैं।
536,Tom is getting water.,टॉम को पानी मिल रहा है।
537,The water was blue.,पानी नीला था।
538,I know that the opposition member might be wrong.,मैं जानता हूं कि विरोधी सदस्य गलत हो सकता है।
539,Are Osakans greedy?,क्या ओसाकावासी लालची होते हैं?
540,Watch your language.,ज़बान संभाल।
541,Are there enough chairs?,कुरसियाँ काफ़ी हैं क्या?
542,Culture destroys language.,संस्कृति भाषा का सर्वनाश करती है।
543,That's MY line!,वह तो मेरी लाईन है!
544,Because I want to be a translator.,क्योंकि मैं अनुवादक बनना चाहती हूँ।
545,I know your language.,मुझे तुम्हारी भाषा आती है।
546,I don't want to refute this outworn idea.,मैं उसके घिसे-पिटे विचार का खंडन नहीं करना चाहता हूं।
547,I'd like a Bloody Mary.,मुझे एक ब्लडी मेरी चाहिए।
548,I speak the Persian language.,मैं फ़ारसी भाषा बोलता हूँ।
549,English is an international language.,अंग्रेज़ी एक अंतर्राष्ट्रीय भाषा है।
550,Give me my sword.,मुझे मेरी तलवार दे दो।
551,How did you make it?,तुमने कैसे बनाया?
552,This mosque needs a new imam.,इस मस्जिद को एक नये इमाम की ज़रूरत है।
553,How many mosques are there in Istanbul?,इस्तांबुल में कितनी मस्जिदें हैं?
554,A river flows.,नदी बहती है।
555,She doesn't want kids.,उसे बच्चे नहीं चाहिए।
556,My husband is lazy.,मेरे पती आलसी हैं।
557,I love life because what more is there.,मैं जीवन से प्यार करता हूँ क्योंकि और है ही क्या।
558,You don't want to go there.,तुम वहाँ नहीं जाना चाहती।
559,Marriage is a covered dish.,विवाह एक ढका हुआ पकवान है।
560,They kept running.,वे दौड़ते रहे।
561,Friendship is certainly the finest balm for the pangs of disappointed love.,दोस्ती निस्संदेह रूप से निराश प्रेम की कसक के लिए उत्तम मरहम है।
562,"Hate the sin, love the sinner.","पाप से नफरत करो, पापी से प्यार."
563,He had found shortcomings in the repair.,उसने मरम्मत में कमियां पाई थीं।
564,An early-morning walk is a blessing for the whole day.,प्रातःकाल का भ्रमण पूरे दिन के लिए वरदान होता है।
565,The most solid stone in the structure is the lowest one in the foundation.,किसी भी नींव का सबसे मजबूत पत्थर सबसे निचला ही होता है।
566,It is better to risk saving a guilty man than to condemn an innocent one.,किसी निर्दोष को दंडित करने से बेहतर है एक दोषी व्यक्ति को बख़्श देने का जोख़िम उठाना।
567,Listen to Tom.,टॉम की सुनो।
568,Luck is a matter of preparation meeting opportunity.,भाग्य अवसर से संयोग की तैयारी भर है।
569,We cannot become what we need to be by remaining what we are.,हम जो हैं वही बने रहकर वह नहीं बन सकते जो कि हम बनना चाहते हैं।
570,There has never been an age that did not applaud the past and lament the present.,ऐसा कोई युग कभी नहीं रहा जिस में अतीत का गुणगान और वर्तमान पर विलाप न किया गया हो।
571,Take a chance! All life is a chance.,जोखिम उठाइये! पूरी जिंदगी एक जोखिम है।
572,The man who goes the furthest is generally the one who is willing to do and dare.,सब से आगे निकलने वाला व्यक्ति सामान्यतया वह होता है जो कर्म और दुस्साहस के लिए इच्छुक रहता है।
573,I will go.,मैं जाऊंगा।
574,"Skillful listening is the best remedy for loneliness, loquaciousness, and laryngitis.","कुशलतापूर्वक किसी की बात सुनना अकेलेपन, वाचालता और कंठशोथ का सब से बढ़िया इलाज है।"
575,What we are is God's gift to us. What we become is our gift to God.,"हम जो हैं वह हमें ईश्वर की देन है, हम जो बनते हैं वह परमेश्वर को हमारी देन है।"
576,"If you would thoroughly know anything, teach it to others.",आप किसी चीज़ का विशद ज्ञान हासिल करना चाहते हैं तो इसे दूसरों को सिखाने लगिए
577,Life is for one generation; a good name is forever.,"ज़िंदगी तो कुल एक पीढ़ी भर की होती है, पर नेक काम पीढ़ी दर पीढ़ी चलता है।"
578,"Almost everything you do will seem insignificant, but it is important that you do it.","आप का कोई भी काम महत्वहीन हो सकता है, किंतु महत्वपूर्ण तो यह है कि आप कुछ करें।"
579,"Until you make peace with who you are, you'll never be content with what you have.","आप जब तक अपनी हैसियत से समझौता नहीं कर लेते, आप के पास जो कुछ है उस से आप संतुष्ट नहीं रह सकेंगे।"
580,Put Tom to bed.,टॉम को सुलाओ।
581,"What soap is for the body, tears are for the soul.","शरीर के मामले में जो स्थान साबुन का है, वही आत्मा के संदर्भ में आंसू का।"
582,"No circumstance, no purpose, no law whatsoever can ever make licit an act which is intrinsically illicit.","कोई परिस्थिति, कोई उद्देश्य, किसी भी प्रकार का कोई कानून, किसी अंतर्निहित रूप से अवैध कार्य को कभी वैध नहीं बना सकता है।"
583,Isn't it strange that we talk least about the things we think about most?,है न यह अजीब बात कि हम उन चीज़ों के बारे में सब से कम बात करते हैं जिन के बारे में हम सब से अधिक सोचते हैं।
584,The Indian National Congress and the Bharatiya Janata Party are the most prominent political parties in India.,भारतीय राष्ट्रीय कांग्रेस और भारतीय जनता पार्टी भारत की सबसे प्रमुख राजनीतिक दल हैं।
585,Be like a postage stamp. Stick to one thing until you get there.,"डाक टिकट की तरह बनिए, मंजिल पर जब तक न पहुंच जाएं उसी चीज़ पर जमे रहिए।"
586,The most important sex organ is the brain.,सबसे महत्त्वपूर्ण यौन अंग होता है दिमाग।
587,Character is much easier kept than recovered.,"चरित्र को बनाए रखना आसान है, उस के भ्रष्ट हो जाने के बाद उसे सुधारना कठिन है।"
588,He who is fixed to a star does not change his mind.,जो व्यक्ति किसी तारे से बंधा होता है वह पीछे नहीं मुड़ता।
589,It was a dream.,सपना था।
590,To think too long about doing a thing often becomes its undoing.,किसी काम को करने के बारे में बहुत देर तक सोचते रहना अक़सर उस के बिगड़ जाने का कारण बनता है।
591,"Enjoy the little things, for one day you may look back and realize they were the big things.","छोटी छोटी बातों का आनंद उठाइए, क्योंकि हो सकता है कि किसी दिन आप मुड़ कर देखें तो आप को अनुभव हो कि ये तो बड़ी बातें थीं।"
592,The absence of alternatives clears the mind marvelously.,विकल्पों का न होना बुद्धि को बढ़िया ढंग से परिमार्जित कर देता है।
593,The one thing that doesn't abide by majority rule is a person's conscience.,एक ही चीज़ है जो बहुमत को नहीं मानती और वह है मनुष्य की अंतरात्मा।
594,Change your thoughts and you change your world.,"आप अपनी सोच बदल दीजिए, आपकी दुनिया बदल जाएगी।"
595,Tom will sing.,टॉम गाएगा।
596,One thought driven home is better than three left on base.,एक क्रियान्वित विचार तीन अधूरे विचारों से कहीं बेहतर है।
597,The old law about 'an eye for an eye' leaves everybody blind.,आँख के बदले आँख' के प्राचीन सिद्धान्त से तो एक दिन सभी अंधे हो जाएंगे।
598,Goals determine what you are going to be.,हमारे लक्ष्य निर्धारित करते हैं कि हम क्या बनने जा रहे हैं।
599,Do you want to have sex with me tonight?,क्या आप आज रात मेरे साथ सेक्स करना चाहतीं हैं?
600,Storms make trees take deeper roots.,तूफ़ानों से पेड़ों की जड़ें और गहरी व मज़बूत होती है।
601,Nothing happens unless first a dream.,कोई सपना देखे बिना कुछ नहीं होता।
602,I know both of the girls.,मैं दोनों लड़कीयों को जानता हूँ।
603,I like spending time with you.,मुझे तुम्हारे साथ वक़्त बिताना अच्छा लगता है।
604,"What's the matter, Mary? You can talk to me if you want.","क्या बात है, मैरी? चाहो तो तुम मुझ से बात कर सकती हो।"
605,I was only joking.,मैं तो बस मजाक कर रहा था।
606,I was just joking.,मैं तो बस मजाक कर रहा थी।
607,I didn't want to cry in front of him.,मुझे उसके सामने नहीं रोना था।
608,What school did you go to?,तुम कौनसे स्कूल गये थे?
609,She fell in love with one of her students.,उसे अपने एक विद्यार्थी से प्यार हो गया।
610,She didn't even say thanks.,उसने तो शुक्रिया तक नहीं कहा।
611,My family is very proud of me.,मेरे परिवार को मुझ पर बहुत गर्व है।
612,King Suleiman was known for his wisdom.,राजा सुलेमान अपनी बुद्धी के लिये जाने जाते थे।
613,One of them is probably lying.,उनमें से एक शायद झूठ बोल रहा है।
614,Only 5 million people live in Norway.,नॉर्वे में बस ५० लाख लोग रहते हैं।
615,I've been given until tomorrow to finish this.,मुझे ये कल तक खतम करना है ।
616,"If Tom doesn't help us, we'll never be able to finish this on time.",अगर टॉम हमारी मदद नहीं करेगा तो हम ये समय पर कभी नहीं कर पायेंगे।
617,It took me a while to find Tom.,मुझे टॉम को ढूँढने में समय लग गया।
618,It shouldn't take long to find Tom.,टॉम को ढूँढने में समय नहीं लगना चाहिए।
619,Contraception is cheaper than pregnancy.,गर्भ-निरोध गर्भावस्था से सस्ता होता है।
620,Philae's landing site was named Agilkia.,फिले के लैंडिंग स्थल का नाम आगिल्किआ रखा गया।
621,What is the poorest country in the European Union?,यूरोपीय संघ में सबसे गरीब देश कौन सा है?
622,I'm older than you. You have to listen to me.,मैं तुम से बड़ा हूँ। तुम्हें मेरी सुननी चाहिए।
623,Laika died when Sputnik 2 burned out in the atmosphere.,स्पुट्निक २ वातावरण में जल जाने पर लाइका की मौत हो गयी।
624,Rosetta was built by the European Space Agency.,रोज़ेटा यूरोपीय अंतरिक्ष एजेंसी ने बनाया था।
625,Rosetta will try to land on a comet in a few hours.,रोज़ेटा कुछ ही घंटों में एक धूमकेतु पर लैंड करने की कोशिश करेगा।
626,It'll only take a minute.,बस एक मिनट ही तो लगेगा।
627,It will only take a minute.,बस एक मिनट लगेगा।
628,I want a blanket.,मुझे एक कंबल चाहिए।
629,The world population reached one billion for the first time in 1804.,दुनिया की लोकसंख्या १८०४ में पहली बार एक अरब तक पहुँच गयी।
630,Tom plays the xylophone.,टॉम सिलाफ़न बजाता है।
631,The sun will become a red giant in about 5 billion years.,५ अरब सालों में सूर्य एक लाल दानव तारा बन जाएगा।
632,Why did you marry him?,तुम ने उससे शादी क्यों की?
633,This vampire works for a blood bank.,यह पिशाच एक रक्त बैंक के लिये काम करता है।
634,This file is encrypted.,यह फाइल एन्क्रिप्टेड है।
635,How did you get caught?,तुम पकड़े कैसे गये?
636,Are you guys all right?,तुम लोग ठीक हो?
637,You're not stupid at all.,तुम बिलकुल भी बेवकूफ नहीं हो।
638,Lava is dangerous.,लावा खतरनाक होता है।
639,What did he say to you?,उसने तुम से क्या कहाँ?
640,Salt is used to melt snow.,नमक का उपयोग बर्फ पिघलाने में किया जाता है।
641,Almost all humans wear clothes.,लगभग सभी इनसान कपड़े पहनते हैं।
642,This screw is made in China.,यह स्क्रू चीन में बना है।
643,This plastic squirrel was made in China.,यह प्लास्टिक की गिलहरी चीन में बनी है।
